elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
29.31,C,-78,16.73,Far,16.61,12.74,P,6.26,weak,trotting,0.2503,16.61,12.74
30.31,A,-87,23.17,Far,15.82,15.10,P,5.08,weak,trotting,0.8190,15.82,15.10
30.31,B,0,-1.00,Unknown,15.82,15.10,P,5.08,weak,trotting,0.8190,15.82,15.10
30.31,C,-76,15.45,Far,15.82,15.10,P,5.08,weak,trotting,0.8190,15.82,15.10
31.31,A,-88,24.14,Far,16.05,17.60,P,3.97,weak,trotting,0.1282,16.05,17.60
31.31,B,-85,30.51,Far,16.05,17.60,P,3.97,weak,trotting,0.1282,16.05,17.60
31.31,C,-78,14.95,Far,16.05,17.60,P,3.97,weak,trotting,0.1282,16.05,17.60
32.31,A,-89,25.24,Far,16.28,20.09,P,4.26,weak,trotting,0.9500,16.28,20.09
32.31,B,-86,30.60,Far,16.28,20.09,P,4.26,weak,trotting,0.9500,16.28,20.09
32.31,C,-79,14.73,Far,16.28,20.09,P,4.26,weak,trotting,0.9500,16.28,20.09
33.31,A,-86,25.70,Far,16.52,22.58,P,5.76,weak,trotting,0.4126,16.52,22.58
33.31,B,-87,30.98,Far,16.52,22.58,P,5.76,weak,trotting,0.4126,16.52,22.58
33.31,C,-82,15.05,Far,16.52,22.58,P,5.76,weak,trotting,0.4126,16.52,22.58
34.31,A,-86,26.13,Far,16.75,25.06,B,5.91,weak,trotting,0.2832,16.75,25.06
34.31,B,-83,29.92,Far,16.75,25.06,B,5.91,weak,trotting,0.2832,16.75,25.06
34.31,C,-78,14.59,Far,16.75,25.06,B,5.91,weak,trotting,0.2832,16.75,25.06
35.31,A,-87,26.76,Far,16.98,27.56,B,3.88,weak,trotting,0.4761,16.98,27.56
35.31,B,-85,29.74,Far,16.98,27.56,B,3.88,weak,trotting,0.4761,16.98,27.56
35.31,C,-79,14.41,Far,16.98,27.56,B,3.88,weak,trotting,0.4761,16.98,27.56
36.31,A,-89,27.75,Far,17.25,25.07,B,5.64,weak,trotting,0.1142,17.25,25.07
36.31,B,-86,29.88,Far,17.25,25.07,B,5.64,weak,trotting,0.1142,17.25,25.07
